Exam: lung
Total questions found: 100
Total answers found:   99

Q#     Page   Y-start    Y-end      Answer
--------------------------------------------------
1      0      71.9       757.7      א
2      1      71.9       359.3      ד
3      1      359.3      757.7      א
4      2      71.9       290.2      ד + א
5      2      290.2      757.7      ד
6      3      72.0       386.0      ג
7      3      386.0      757.7      ג
8      4      71.9       258.9      ד
9      4      258.9      757.7      ב
10     5      71.9       234.5      ג
11     5      234.5      470.6      א
12     5      470.6      757.7      ב
13     6      71.8       208.5      א
14     6      208.5      391.5      ג
15     6      391.5      757.7      ג
16     7      71.9       258.9      ג
17     7      258.9      494.9      א
18     7      494.9      757.7      ג
19     8      71.9       189.6      ג
20     8      189.6      757.7      א
21     9      71.9       485.3      ג
22     9      485.3      757.7      ג
23     10     71.9       483.2      א
24     10     483.2      757.7      ג
25     11     71.9       176.1      ב + א
26     11     176.1      376.7      ד
27     11     376.7      757.7      ד
28     12     71.9       241.1      א
29     12     241.1      394.6      ב
30     12     394.6      757.7      א
31     13     71.9       276.6      א
32     13     276.6      757.7      ג
33     14     71.9       312.0      א
34     14     312.0      757.7      א
35     15     71.9       307.8      ג
36     15     307.8      452.8      ד
37     15     452.8      757.7      א
38     16     71.9       330.9      ג
39     16     330.9      629.6      ב
40     16     629.6      757.7      ג
41     17     71.9       452.0      ב
42     17     452.0      757.7      ב
43     18     71.9       458.6      א
44     18     458.6      757.7      ג
45     19     71.8       317.1      ג
46     19     317.1      434.9      ב
47     19     434.9      757.7      א
48     20     71.9       234.5      ד
49     20     234.5      352.2      ב
50     20     352.2      757.7      ג
51     21     71.9       757.7      ב
52     22     71.9       451.8      ג
53     22     451.8      757.7      ג
54     23     71.9       176.1      ב
55     23     176.1      757.7      א
56     24     71.9       299.6      ב
57     24     299.6      478.4      ד
58     24     478.4      757.7      ג
59     25     71.9       272.4      א
60     25     272.4      757.7      ד
61     26     71.9       757.7      ב
62     27     71.9       309.4      ב
63     27     309.4      757.7      ג
64     28     71.9       757.7      ב
65     29     71.9       757.7      ג
66     30     72.0       757.7      ג
67     31     71.9       268.4      א
68     31     268.4      522.0      ב
69     31     522.0      757.7      א
70     32     71.9       757.7      ג
71     33     71.9       528.0      ד
72     33     528.0      757.7      ג
73     34     71.9       757.7      ב
74     35     71.9       441.9      -- NO ANSWER --
75     35     441.9      586.8      ב + א
76     35     586.8      757.7      א
77     36     71.9       223.5      ד
78     36     223.5      757.7      א
79     37     71.9       417.5      ב
80     37     417.5      757.7      ד
81     38     71.9       757.7      ד
82     39     71.9       757.7      ב
83     40     71.9       408.0      ג
84     40     408.0      608.7      ג
85     40     608.7      757.7      ב
86     41     71.9       189.6      ג
87     41     189.6      331.7      ב
88     41     331.7      757.7      ב
89     42     71.9       335.1      ד + ג
90     42     335.1      480.0      ג + ב
91     42     480.0      757.7      ג
92     43     71.9       205.7      ד
93     43     205.7      371.0      ב
94     43     371.0      554.0      ב
95     43     554.0      757.7      ד + ג
96     44     71.9       241.1      ב
97     44     241.1      757.7      א
98     45     71.9       241.1      א
99     45     241.1      757.7      ב
100    46     71.9       757.7      ב
